student_id,gender,school_type,location,extracurricular,parent_education,income_level,study_hours_per_day,attendance_pct,sleep_hours,math_score,science_score,english_score,social_score,average_score,grade
STU0028,Female,Government,Urban,Art,Graduate,Middle,1.0,88.6,6.1,54.3,53.1,58.7,46.4,53.13,D
STU0029,Female,Government,Urban,Dance,Post-Graduate,Middle,4.3,75.8,6.3,82.8,87.8,79.0,78.6,82.05,A
STU0030,Female,Private,Semi-Urban,Sports,Primary,Middle,3.4,70.4,6.3,72.0,78.4,69.5,79.7,74.9,B
STU0031,Male,Government,Rural,Art,Graduate,Low,1.8,82.9,4.8,53.8,64.1,56.5,53.5,56.97,D
STU0032,Male,Private,Urban,Art,Graduate,Middle,1.6,80.7,6.8,87.1,96.5,65.6,75.3,81.12,A
STU0033,Male,Government,Urban,Sports,Secondary,High,2.7,75.7,7.1,58.9,52.4,65.0,56.7,58.25,D
STU0034,Female,Semi-Private,Urban,None,Primary,Middle,2.2,72.0,5.2,52.2,55.4,59.3,40.5,51.85,D
STU0035,Male,Semi-Private,Urban,Coding,Graduate,Middle,4.5,67.2,6.5,76.3,76.4,65.0,58.7,69.1,C
STU0036,Female,Private,Rural,Music,Secondary,High,4.7,95.1,6.7,88.2,90.8,56.0,82.6,79.4,B
STU0037,Female,Government,Rural,Dance,Secondary,,4.3,96.0,8.0,62.4,63.0,68.7,41.0,58.78,D
STU0038,Male,Government,Rural,Coding,Graduate,Middle,4.6,62.3,9.1,67.9,69.2,40.7,62.0,59.95,D
STU0039,Female,Private,Rural,Dance,Post-Graduate,Low,1.6,73.3,7.5,89.8,90.1,84.4,79.0,85.82,A
STU0040,Male,Private,Rural,Coding,Secondary,Low,4.8,83.4,5.3,71.2,67.8,61.9,78.8,69.92,C
STU0041,Male,Private,Urban,Music,Graduate,High,5.0,67.2,5.9,85.2,87.0,72.6,80.0,81.2,A
STU0042,Male,Private,Urban,Dance,Post-Graduate,High,4.4,86.9,7.1,86.0,91.9,74.6,74.9,81.85,A
STU0043,Female,Government,Urban,Coding,Primary,Middle,3.9,80.6,,70.1,69.3,65.6,70.8,68.95,C
STU0044,Female,Government,Semi-Urban,Dance,Graduate,Low,2.9,88.0,,61.9,59.2,40.5,58.9,55.12,D
STU0045,Male,Government,Urban,Sports,No Schooling,Middle,4.5,100.0,8.0,71.4,73.0,64.2,57.6,66.55,C
STU0046,Female,Government,Urban,Sports,,,3.4,58.0,6.8,58.2,60.8,43.0,56.7,54.68,D
STU0047,Female,Government,Urban,Coding,Secondary,Low,5.4,95.6,9.9,60.3,56.5,52.2,57.4,56.6,D
STU0048,Male,Government,Semi-Urban,Sports,Secondary,High,4.4,71.7,5.1,57.3,55.2,55.0,54.6,55.52,D
STU0049,Female,Private,Rural,Sports,Graduate,Low,3.7,86.5,7.6,80.7,74.3,80.6,75.8,77.85,B
STU0050,Male,Government,Rural,Art,Graduate,,3.5,84.7,5.0,73.3,75.7,61.4,74.2,71.15,B
STU0051,Male,Private,Urban,Dance,Secondary,Middle,3.8,95.0,6.0,91.1,89.5,96.8,83.6,90.25,A+
STU0052,Female,Government,Urban,Music,Graduate,High,3.8,79.3,8.0,74.1,82.7,60.8,58.4,69.0,C
STU0053,Female,Private,Urban,Dance,Post-Graduate,Middle,3.9,68.7,4.5,95.9,99.4,79.6,74.2,87.28,A
STU0054,Male,Government,Semi-Urban,Art,Post-Graduate,Low,2.1,81.5,7.4,69.0,73.5,71.9,60.6,68.75,C
STU0055,Male,Government,Urban,Art,Graduate,Middle,4.4,98.8,5.5,81.4,82.7,72.2,70.1,76.6,B
STU0056,Male,Government,Semi-Urban,Dance,Post-Graduate,Low,4.3,82.8,6.9,69.6,75.3,65.6,66.3,69.2,C
STU0057,Female,Semi-Private,Rural,Coding,Post-Graduate,Middle,2.2,71.7,6.2,76.5,67.2,66.1,78.6,72.1,B
STU0058,Female,Private,Rural,Dance,Graduate,Middle,4.3,76.7,7.0,79.3,79.6,69.4,82.5,77.7,B
STU0059,Male,Private,Rural,Sports,Post-Graduate,Middle,4.0,81.6,7.5,82.5,81.0,77.9,69.6,77.75,B
STU0060,Male,Semi-Private,Semi-Urban,Art,Graduate,Middle,2.8,80.0,8.3,74.0,81.3,78.1,54.9,72.08,B
STU0061,Female,Private,Urban,Dance,Graduate,Low,4.9,78.3,7.2,73.0,65.7,68.2,66.9,68.45,C
STU0062,Female,Government,Rural,Music,Graduate,Low,6.0,90.4,7.7,82.7,84.4,78.7,81.9,81.93,A
STU0063,Male,Private,Urban,Music,No Schooling,Middle,3.1,100.0,6.9,80.9,89.0,81.6,69.7,80.3,A
STU0064,Female,Semi-Private,Rural,Sports,No Schooling,Middle,4.2,90.0,5.4,66.0,65.8,57.4,61.2,62.6,C
STU0065,Female,Private,Semi-Urban,Sports,Graduate,Middle,5.9,86.1,,90.4,90.2,74.0,79.2,83.45,A
STU0066,Female,Government,Urban,Dance,Graduate,High,0.7,91.0,8.8,74.3,76.4,60.0,78.6,72.32,B
STU0067,Female,Semi-Private,Rural,Music,Graduate,Middle,6.8,86.4,5.5,92.7,91.8,76.7,98.3,89.88,A
STU0068,Female,Private,Rural,Coding,Post-Graduate,Middle,4.1,80.3,7.2,85.3,88.2,69.2,80.9,80.9,A
STU0069,Female,Private,Semi-Urban,Art,Secondary,Middle,5.1,71.6,7.2,83.8,90.9,85.0,79.9,84.9,A
STU0070,Male,Private,Urban,None,Primary,High,1.4,71.6,7.1,78.5,80.9,56.7,61.1,69.3,C
STU0071,Male,Private,Rural,Music,Graduate,High,2.0,78.5,8.2,77.7,78.0,75.8,67.2,74.68,B
STU0072,Female,Private,Semi-Urban,Art,Primary,Middle,2.6,82.1,6.2,79.8,85.0,63.0,78.0,76.45,B
STU0073,Female,Semi-Private,Rural,Music,Graduate,Middle,2.4,92.3,6.7,81.0,90.6,88.2,75.6,83.85,A
STU0074,Male,Private,Semi-Urban,Dance,,Middle,0.5,77.3,6.6,71.7,68.3,69.2,68.9,69.53,C
STU0075,Female,Government,Rural,None,Graduate,Low,2.2,74.4,4.3,75.8,87.6,62.4,56.7,70.62,B
STU0076,Female,Private,Rural,None,Secondary,Middle,2.8,81.9,6.1,67.7,64.7,58.2,47.3,59.48,D
STU0077,Female,Government,Urban,Dance,Primary,,1.8,83.7,8.3,63.6,66.3,58.4,72.6,65.22,C
STU0078,Female,Government,Urban,Dance,Secondary,Low,6.2,71.6,9.4,69.5,71.9,69.2,62.6,68.3,C
STU0079,Female,Private,Rural,Sports,Graduate,Middle,5.0,70.0,8.1,90.1,92.8,84.3,68.4,83.9,A
STU0080,Female,Government,Urban,Art,Secondary,High,2.9,86.3,7.5,66.8,57.4,61.7,60.6,61.62,C
STU0081,Female,Government,Urban,Coding,Graduate,Middle,4.9,77.1,5.3,81.8,74.8,68.9,63.4,72.22,B
STU0082,Male,Government,Urban,Art,Secondary,High,4.5,92.8,7.2,79.2,77.2,70.0,63.3,72.42,B
STU0083,Female,Government,Urban,Sports,Graduate,Middle,1.4,81.9,7.1,61.2,57.7,67.8,51.8,59.62,D
STU0084,Female,Government,Rural,Art,Post-Graduate,High,4.6,77.8,9.8,81.7,85.2,91.5,63.3,80.42,A
STU0085,Female,Government,Urban,None,Secondary,Middle,3.4,64.5,4.9,67.8,75.4,71.5,38.5,63.3,C
STU0086,Male,Private,Rural,Music,Graduate,High,5.0,78.7,5.5,83.1,71.2,68.0,79.8,75.53,B
STU0087,Male,Private,Semi-Urban,None,Primary,Middle,2.4,66.8,8.5,75.5,68.9,80.6,64.3,72.32,B
STU0088,Female,Private,Rural,Sports,Graduate,High,4.8,63.2,8.9,80.2,77.3,70.5,78.8,76.7,B
STU0089,Male,Government,Rural,Art,Secondary,High,5.6,96.7,7.4,70.9,64.5,65.3,65.0,66.42,C
STU0090,Female,Private,Rural,Art,Graduate,Middle,4.6,72.8,6.6,84.7,83.0,66.9,63.0,74.4,B
STU0091,Female,Private,Urban,Music,Secondary,Low,1.3,89.3,7.7,76.4,71.6,70.8,68.9,71.93,B
STU0092,Male,Government,Urban,Coding,Post-Graduate,,7.7,65.3,9.6,60.3,63.5,50.0,66.1,59.98,D
STU0093,Male,Private,Rural,Music,Primary,Middle,4.9,70.1,6.2,95.9,100.0,97.5,84.0,94.35,A+
STU0094,Male,Private,Rural,Music,Post-Graduate,High,3.6,69.0,7.6,100.0,95.2,100.0,82.9,94.52,A+
STU0095,Male,Private,Urban,None,,Middle,4.9,86.8,6.8,73.4,81.2,67.4,56.6,69.65,C
STU0096,Male,Private,Urban,Sports,,Low,7.2,84.0,7.4,94.3,100.0,89.0,79.4,90.68,A+
STU0097,Female,Private,Urban,Sports,Graduate,Low,1.9,62.7,7.9,63.7,60.0,56.7,50.8,57.8,D
STU0098,Male,Semi-Private,Semi-Urban,Sports,Post-Graduate,Middle,5.6,61.6,6.3,68.8,82.0,64.4,59.7,68.73,C
STU0099,Male,Semi-Private,Semi-Urban,None,Graduate,Low,3.8,84.4,8.2,73.6,68.6,62.8,51.6,64.15,C
STU0100,Male,Government,Rural,Dance,Secondary,Middle,3.5,94.3,6.4,59.3,67.0,57.9,46.9,57.78,D
STU0101,Male,Private,Rural,Art,Post-Graduate,Middle,3.6,93.7,7.7,91.8,87.3,86.2,85.6,87.72,A
STU0102,Male,Government,Urban,None,Graduate,Middle,0.9,69.3,4.7,67.6,56.7,64.9,63.1,63.08,C
STU0103,Female,Private,Rural,Sports,Secondary,High,4.7,73.4,7.9,93.9,100.0,90.8,80.8,91.38,A+
STU0104,Male,Private,Urban,None,Graduate,Low,0.5,84.3,5.9,72.7,76.1,63.9,57.3,67.5,C
STU0105,Female,Government,Rural,None,Graduate,,3.2,85.1,6.4,77.5,77.2,92.4,81.5,82.15,A
STU0106,Female,Government,Urban,Coding,Graduate,Middle,3.2,81.0,4.3,72.9,63.2,61.7,81.5,69.82,C
STU0107,Female,Government,Urban,Dance,Graduate,High,3.4,73.6,6.7,71.2,79.3,60.2,56.3,66.75,C
STU0108,Male,Government,Semi-Urban,Coding,Post-Graduate,Low,0.8,83.7,8.6,59.2,65.9,35.2,61.4,55.42,D
STU0109,Male,Private,Semi-Urban,Music,Graduate,Middle,5.3,80.0,5.1,84.0,73.2,82.5,66.9,76.65,B
STU0110,Male,Private,Rural,Coding,Graduate,High,1.2,80.4,7.2,70.7,72.2,42.2,68.3,63.35,C
STU0111,Female,Private,Urban,Coding,No Schooling,Middle,2.6,88.7,4.6,76.3,79.8,67.1,52.1,68.82,C
STU0112,Male,Private,Rural,Sports,Graduate,High,3.2,91.3,6.8,65.0,58.3,54.2,55.7,58.3,D
STU0113,Female,Government,Rural,None,,High,3.5,82.2,8.0,83.4,89.6,64.4,76.1,78.38,B
STU0114,Male,Government,Semi-Urban,Music,Secondary,High,4.6,81.6,6.9,69.0,84.2,64.2,65.9,70.82,B
STU0115,Female,Semi-Private,Semi-Urban,Art,Graduate,Middle,4.0,76.1,7.9,70.9,77.5,79.4,57.6,71.35,B
STU0116,Female,Private,Urban,Art,Graduate,Middle,6.9,79.6,6.4,93.4,100.0,90.2,86.9,92.62,A+
STU0117,Male,Private,Urban,Art,Graduate,Low,4.5,87.1,10.0,84.7,90.3,70.9,75.2,80.28,A
STU0118,Male,Private,Semi-Urban,None,Post-Graduate,Low,4.4,83.9,,89.2,82.6,96.7,69.1,84.4,A
STU0119,Male,Government,Semi-Urban,None,,Low,3.1,71.5,7.3,75.1,80.3,63.0,60.2,69.65,C
STU0120,Male,Semi-Private,Urban,Dance,,Low,4.5,70.9,9.1,62.4,54.7,66.8,69.4,63.32,C
STU0121,Male,Private,Rural,Sports,No Schooling,Low,3.3,70.5,8.7,58.9,55.9,41.2,56.4,53.1,D
STU0122,Male,Government,Urban,Music,Post-Graduate,Low,3.3,91.8,6.4,71.8,70.4,64.2,62.4,67.2,C
STU0123,Female,Government,Urban,Coding,Secondary,Low,8.8,58.1,7.6,90.2,88.1,72.2,69.5,80.0,A
STU0124,Female,Government,Semi-Urban,Art,Post-Graduate,Low,6.3,61.7,6.6,85.6,80.9,94.4,72.5,83.35,A
STU0125,Female,Government,Rural,Music,Secondary,Low,2.7,70.6,8.1,62.2,60.7,52.3,59.1,58.58,D
STU0126,Female,Government,Urban,Dance,Secondary,,5.0,87.0,8.9,78.2,77.5,63.3,73.3,73.08,B
STU0127,Female,Government,Urban,Art,Secondary,High,4.4,74.8,5.2,75.9,83.6,73.2,69.6,75.57,B
STU0128,Male,Government,Semi-Urban,Music,Graduate,High,3.0,68.1,7.1,70.8,73.4,63.2,59.9,66.82,C
STU0129,Male,Private,Rural,Sports,Secondary,High,7.1,82.3,8.8,97.4,100.0,100.0,72.6,92.5,A+
STU0130,Male,Government,Semi-Urban,Sports,Secondary,Middle,3.7,82.9,7.9,70.1,68.7,67.1,63.4,67.32,C
STU0131,Female,Government,Urban,Dance,Graduate,Low,6.1,87.4,7.5,83.7,89.5,76.7,74.7,81.15,A
STU0132,Female,Private,Rural,Music,,Middle,3.0,94.4,8.3,89.8,78.2,87.1,73.7,82.2,A
STU0133,Male,Private,Rural,Dance,Post-Graduate,Middle,5.6,92.8,5.4,90.1,82.4,79.8,78.6,82.72,A
STU0134,Female,Semi-Private,Semi-Urban,Dance,Secondary,Middle,6.0,84.7,7.7,79.9,86.0,74.8,72.6,78.32,B
STU0135,Male,Private,Urban,Dance,Graduate,High,2.5,77.0,8.5,81.0,77.4,67.1,75.1,75.15,B
STU0136,Female,Government,Rural,None,Graduate,Low,3.5,83.2,7.7,63.3,63.9,53.8,64.4,61.35,C
STU0137,Female,Private,Rural,Sports,Graduate,Middle,3.9,73.1,5.5,74.5,60.5,61.0,50.4,61.6,C
STU0138,Male,Semi-Private,Semi-Urban,None,Primary,Middle,6.5,88.7,,78.1,75.8,74.5,73.7,75.52,B
STU0139,Female,Semi-Private,Rural,Coding,,High,6.3,72.0,7.0,82.7,75.2,70.0,62.8,72.68,B
STU0140,Female,Private,Rural,None,Graduate,Low,3.4,68.9,,77.8,73.7,77.4,62.9,72.95,B
STU0141,Female,Private,Urban,Sports,Secondary,Low,3.4,89.4,5.9,78.9,79.6,65.1,78.7,75.58,B
STU0142,Male,Private,Rural,Dance,Secondary,Middle,4.4,60.7,,77.4,78.0,63.1,61.2,69.92,C
STU0143,Female,Government,Rural,Music,Secondary,High,1.6,70.8,9.0,58.1,56.6,56.3,60.6,57.9,D
STU0144,Female,Private,Semi-Urban,Dance,Post-Graduate,Low,5.9,85.2,4.7,87.3,92.7,80.3,73.7,83.5,A
STU0145,Male,Private,Urban,Dance,Post-Graduate,Middle,2.7,77.0,6.4,81.8,79.2,81.4,84.0,81.6,A
STU0146,Female,Government,Semi-Urban,None,Primary,Low,4.1,76.5,6.1,70.7,69.1,55.6,55.0,62.6,C
STU0147,Female,Semi-Private,Urban,Music,Graduate,Low,6.1,65.4,8.8,87.3,80.1,66.9,77.2,77.88,B
STU0148,Male,Government,Urban,Sports,Secondary,Middle,4.7,66.4,7.9,52.5,59.8,59.4,30.2,50.47,D
STU0149,Male,Government,Urban,Art,Graduate,Middle,3.4,75.8,8.7,61.4,56.5,46.4,57.8,55.53,D
STU0150,Male,Government,Semi-Urban,Sports,Secondary,High,2.5,60.0,,68.0,59.5,69.4,50.8,61.92,C
STU0151,Female,Private,Rural,Music,Secondary,Middle,3.9,77.9,8.4,76.0,68.7,50.8,67.0,65.62,C
STU0152,Male,Private,Urban,Sports,Post-Graduate,Middle,3.6,91.6,7.3,72.4,73.6,71.1,59.8,69.22,C
STU0153,Male,Government,Urban,None,Graduate,Low,7.9,90.6,7.6,95.6,95.0,86.2,97.1,93.48,A+
STU0154,Male,Private,Semi-Urban,Music,Secondary,Low,2.8,84.4,7.6,84.3,83.0,79.9,72.2,79.85,B
STU0155,Female,Government,Semi-Urban,Art,Primary,Middle,3.2,80.3,7.0,54.2,60.2,57.2,63.1,58.68,D
STU0156,Male,Private,Urban,Art,Post-Graduate,Low,2.5,77.0,7.0,71.5,65.6,73.4,58.1,67.15,C
STU0157,Female,Private,Urban,Music,Primary,Low,3.6,78.7,7.6,98.4,100.0,92.4,63.4,88.55,A
STU0158,Female,Semi-Private,Semi-Urban,Sports,Graduate,Middle,4.8,67.8,,69.6,70.2,70.8,69.0,69.9,C
STU0159,Male,Semi-Private,Semi-Urban,Art,Secondary,High,2.6,71.2,7.3,77.8,80.2,80.1,61.7,74.95,B
STU0160,Female,Government,Semi-Urban,Coding,Primary,Low,4.5,59.9,7.2,75.8,76.5,79.6,76.4,77.08,B
STU0161,Male,Private,Semi-Urban,Music,Graduate,Middle,2.2,88.1,7.9,66.6,62.1,65.8,60.3,63.7,C
STU0162,Male,Semi-Private,Rural,Music,Post-Graduate,Low,5.4,76.8,6.8,77.3,63.9,63.1,74.0,69.57,C
STU0163,Female,Government,Semi-Urban,Music,Primary,,3.3,99.7,5.5,76.1,81.0,67.7,75.1,74.97,B
STU0164,Female,Government,Semi-Urban,Dance,Primary,High,3.5,71.6,7.2,51.9,51.8,48.3,65.0,54.25,D
STU0165,Female,Private,Semi-Urban,Sports,Graduate,Middle,6.1,77.9,5.9,79.3,80.0,67.0,78.9,76.3,B
STU0166,Male,Private,Rural,Music,Graduate,Low,3.3,85.6,8.2,79.5,79.3,63.4,72.9,73.78,B
STU0167,Male,Semi-Private,Rural,Music,Graduate,High,4.6,82.5,6.3,78.3,69.4,79.0,76.7,75.85,B
STU0168,Female,Private,Rural,Dance,Secondary,Middle,5.1,77.1,6.4,90.4,91.8,84.2,85.6,88.0,A
STU0169,Male,Private,Semi-Urban,None,Secondary,Middle,6.0,97.2,7.5,92.9,93.1,78.6,85.8,87.6,A
STU0170,Female,Semi-Private,Urban,Dance,Secondary,Middle,4.5,68.0,7.0,74.8,74.4,68.9,82.0,75.03,B
STU0171,Male,Government,Urban,Music,Graduate,Low,3.5,84.9,8.4,70.3,80.6,67.2,62.7,70.2,B
STU0172,Female,Private,Rural,Sports,Primary,Middle,3.2,73.3,6.7,63.9,64.6,50.1,60.2,59.7,D
STU0173,Female,Semi-Private,Rural,Dance,Graduate,Low,4.5,76.5,6.6,87.5,86.8,73.0,73.9,80.3,A
STU0174,Male,Private,Urban,Music,Graduate,Low,2.9,80.8,6.1,80.0,79.1,70.5,91.4,80.25,A
STU0175,Female,Government,Rural,Coding,Graduate,Middle,4.8,76.6,5.6,79.0,72.6,70.9,69.0,72.88,B
STU0176,Female,Private,Urban,Sports,Post-Graduate,Low,4.3,76.2,6.4,87.9,88.7,67.0,80.8,81.1,A
STU0177,Female,Private,Semi-Urban,Dance,Post-Graduate,Middle,2.2,61.4,7.5,77.8,79.4,77.1,63.5,74.45,B
STU0178,Female,Semi-Private,Urban,Art,Graduate,Middle,2.2,87.7,8.5,74.0,70.0,68.1,64.3,69.1,C
STU0179,Male,Government,Semi-Urban,Sports,Secondary,Middle,4.1,61.3,8.0,65.6,70.1,58.8,67.6,65.53,C
STU0180,Male,Private,Rural,Coding,Secondary,Middle,3.6,93.4,6.3,79.3,82.2,66.7,70.5,74.68,B
STU0181,Male,Government,Semi-Urban,Music,Graduate,,5.2,76.9,7.2,70.2,69.5,56.6,72.4,67.18,C
STU0182,Male,Private,Semi-Urban,Sports,Graduate,High,2.6,88.0,7.0,83.7,88.7,76.3,80.7,82.35,A
STU0183,Female,Private,Semi-Urban,Sports,Primary,High,5.1,51.8,8.4,82.7,80.4,76.6,73.4,78.28,B
STU0184,Male,Semi-Private,Rural,Music,Post-Graduate,Middle,5.1,77.6,8.6,85.7,90.5,93.6,70.3,85.02,A
STU0185,Female,Private,Urban,Art,Primary,Middle,2.2,77.9,4.7,83.0,80.1,92.0,76.5,82.9,A
STU0186,Female,Semi-Private,Urban,Sports,Graduate,Low,3.7,68.5,8.7,70.1,79.6,60.3,66.2,69.05,C
STU0187,Female,Private,Urban,Music,Graduate,Middle,6.0,87.3,5.1,100.0,96.5,82.3,88.1,91.72,A+
STU0188,Male,Private,Rural,Sports,Graduate,Middle,4.6,71.3,7.3,85.6,84.7,67.6,78.6,79.12,B
STU0189,Female,Government,Rural,None,Graduate,,3.9,68.5,4.5,47.2,42.0,45.8,40.8,43.95,F
STU0190,Female,Government,Urban,Art,Primary,Middle,5.3,74.1,8.2,84.0,87.3,66.4,79.8,79.38,B
STU0191,Female,Government,Rural,Coding,Post-Graduate,Middle,3.3,88.3,6.6,67.9,61.1,51.7,65.3,61.5,C
STU0192,Female,Government,Rural,None,Post-Graduate,High,3.5,80.9,7.8,76.4,75.7,64.1,63.8,70.0,B
STU0193,Male,Government,Urban,Sports,Graduate,Low,4.3,82.2,6.7,77.4,69.1,65.9,66.6,69.75,C
STU0194,Male,Private,Urban,Art,Secondary,Middle,6.1,86.2,8.2,87.1,90.3,73.1,77.3,81.95,A
STU0195,Male,Semi-Private,Rural,Music,Primary,Middle,2.6,75.7,5.0,65.0,68.5,47.3,56.7,59.38,D
STU0196,Female,Private,Rural,None,Primary,Low,4.7,89.2,7.7,74.8,75.5,67.9,62.4,70.15,B
STU0197,Female,Government,Rural,Art,Graduate,High,3.4,82.1,7.5,66.5,63.3,60.7,68.5,64.75,C
STU0198,Female,Private,Urban,Art,Secondary,Middle,5.9,87.0,7.4,95.6,99.8,97.0,90.7,95.78,A+
STU0199,Male,Private,Rural,Sports,Secondary,Middle,5.1,69.6,7.6,72.1,66.4,56.3,69.9,66.18,C
STU0200,Female,Private,Rural,Coding,Graduate,Middle,3.9,79.0,8.4,81.9,77.4,78.8,65.3,75.85,B
STU0201,Male,Private,Semi-Urban,None,,Low,4.9,88.2,8.2,96.0,100.0,100.0,97.8,98.45,A+
STU0202,Female,Government,Rural,Coding,Primary,Middle,3.1,97.7,5.3,58.4,61.7,43.0,56.9,55.0,D
STU0203,Male,Semi-Private,Urban,Music,Graduate,Low,3.0,89.3,7.1,79.6,82.9,63.9,70.8,74.3,B
STU0204,Female,Private,Rural,Dance,Graduate,Middle,7.8,89.8,7.4,100.0,100.0,79.9,93.8,93.42,A+
STU0205,Male,Private,Rural,Sports,Post-Graduate,Low,3.4,61.2,6.9,83.3,84.3,79.4,73.8,80.2,A
STU0206,Male,Government,Rural,Coding,Graduate,High,4.3,74.8,7.2,80.9,78.5,77.0,52.6,72.25,B
STU0207,Female,Government,Rural,Art,Graduate,Middle,3.4,84.7,7.6,70.8,69.9,72.8,66.5,70.0,B
STU0208,Male,Private,Urban,None,Graduate,High,2.1,63.2,7.9,66.2,53.6,61.9,68.6,62.58,C
STU0209,Male,Semi-Private,Urban,Dance,Post-Graduate,Middle,2.5,82.8,7.7,75.8,78.1,83.8,71.3,77.25,B
STU0210,Female,Private,Rural,Coding,Post-Graduate,Middle,4.5,74.1,8.0,75.4,83.9,73.4,55.3,72.0,B
STU0211,Male,Government,Semi-Urban,Art,Primary,Middle,1.9,74.6,9.4,77.6,75.5,81.0,76.0,77.53,B
STU0212,Male,Private,Urban,None,Graduate,Middle,2.9,78.8,6.8,78.4,86.3,72.9,72.6,77.55,B
STU0213,Female,Private,Urban,None,Graduate,Low,5.0,82.2,6.8,70.4,64.6,61.8,66.7,65.88,C
STU0214,Female,Government,Semi-Urban,Dance,Graduate,High,4.3,86.8,7.8,69.0,64.3,62.2,52.5,62.0,C
STU0215,Female,Semi-Private,Rural,Art,Secondary,Middle,3.4,65.1,7.0,67.6,62.9,73.4,58.2,65.53,C
STU0216,Male,Private,Rural,Dance,Secondary,High,3.3,89.3,6.6,68.5,59.7,69.6,55.1,63.22,C
STU0217,Female,Private,Urban,Music,Graduate,Middle,2.5,85.6,6.5,68.3,77.0,68.9,69.0,70.8,B
STU0218,Male,Private,Urban,Sports,Secondary,Low,7.3,75.0,7.8,85.1,88.2,85.3,79.4,84.5,A
STU0219,Female,Government,Urban,Sports,Secondary,Low,2.5,89.4,7.5,70.7,74.4,67.2,60.1,68.1,C
STU0220,Male,Government,Semi-Urban,Music,,,5.5,58.0,9.2,79.7,75.4,95.3,66.5,79.23,B
STU0221,Male,Private,Rural,Art,Secondary,Low,0.7,80.0,5.8,78.0,82.8,69.5,68.2,74.62,B
STU0222,Female,Government,Semi-Urban,Dance,Graduate,Low,5.3,71.3,5.8,69.4,66.4,64.9,65.5,66.55,C
STU0223,Female,Government,Semi-Urban,Sports,Post-Graduate,Low,5.5,65.5,7.1,56.2,53.4,49.2,59.2,54.5,D
